OneWayAcc	TwoWayAcc	ThreeWayAcc	ChiMaxs	ChiSums	Best
0.507	0.509667	0.666667	0.599764822108980	1.53827780084405	0
0.505	0.509333	0.670667	0.962633744859437	2.29782049668155	0
0.504667	0.514333	0.669667	0.438730081122655	0.844506156899448	0
0.504667	0.512	0.670333	0.500592075150774	1.31282017493678	0
0.505333	0.509667	0.670667	0.962370389614384	2.12836907822165	0
0.501333	0.506667	0.651333	1.15687750808222	2.54806988137241	0
0.501667	0.508333	0.669667	1.536	3.56470969907952	1
0.505	0.511333	0.667667	0.374966550404691	1.05960426169779	0
0.504333	0.509333	0.663333	0.192609784410474	0.4115963449337	0
0.507333	0.509667	0.666333	0.522568973873215	1.46108195260828	0
0.504667	0.51	0.671667	1.06611301607195	2.50101552479709	0
0.505333	0.516	0.669333	0.436580473983964	0.715073243578472	0
0.507	0.509667	0.666333	0.599764822108980	1.47791419997256	0
0.505	0.510667	0.671	0.863500356702153	2.03345592212821	0
0.502333	0.508333	0.67	1.536	3.14758133514205	0
0.502	0.508333	0.666667	1.66662370396148	3.39546449630632	0
0.503	0.509333	0.665667	0.94819994862048	2.13985828150326	0
0.502333	0.505667	0.662667	1.13679553577745	3.0794361498251	0
0.506667	0.514333	0.669	0.254937455257006	0.503504055564554	0
0.504667	0.509667	0.669333	0.962370389614384	2.05949781317292	0
0.505	0.509333	0.668	0.863875076293833	1.83402644295623	0
0.504667	0.510333	0.668	0.962370389614384	1.91468234846119	0
0.505333	0.509667	0.668	0.863875076293833	1.66720019707986	0
0.503	0.509667	0.669333	0.762152967462395	2.19482777013877	0
0.504667	0.514	0.669333	0.434257483929642	0.794755672900687	0
0.504333	0.515	0.669667	0.438730081122655	1.10180219369359	0
0.504667	0.508	0.667333	1.17161301484108	2.33389196461028	0
0.502667	0.507	0.665667	0.832300094835974	2.37913149539208	0
0.502333	0.506667	0.665	1.12681676728075	2.86599011996412	0
0.505667	0.511333	0.666667	0.372000744001488	0.792657831554679	0
0.505333	0.511	0.665333	0.375647625802038	0.902784435758815	0
0.506	0.511333	0.666333	0.316533500460222	0.779402261868637	0
0.502	0.508333	0.666	1.66662370396148	3.28219987642825	0
0.505667	0.509667	0.661	0.139757607700763	0.258874128896116	0
0.504	0.509333	0.663	0.274441312234747	0.578441655490871	0
0.504667	0.509	0.662667	0.150941275194693	0.318598648133380	0
0.504333	0.508667	0.664	0.241923796619540	0.529325561404194	0
0.504667	0.508667	0.664	0.274441312234747	0.488765231752013	0
0.505	0.509667	0.662333	0.148881296632026	0.309910488046837	0
0.504333	0.509	0.662333	0.192609784410474	0.412168945402122	0
0.508	0.510333	0.665667	0.522568973873215	1.39899632132081	0
0.504333	0.514	0.669	0.510909634666798	1.07027936785121	0
0.504667	0.512	0.669333	0.436580473983964	1.18522017866973	0
0.504333	0.511	0.670667	0.510909634666798	1.38103496280555	0
0.504333	0.512	0.671667	0.510909634666798	1.39310712161275	0
0.505	0.511333	0.67	0.438730081122655	1.13127505928183	0
0.502	0.506	0.651333	1.27552310864432	2.71860373382434	0
0.502	0.506333	0.652	1.15687750808222	2.50300678656297	0
0.501667	0.506333	0.649667	1.04682087434988	2.22943918533346	0
0.501667	0.505667	0.650333	1.16004831837639	2.4468736735496	0
0.507333	0.515	0.667333	0.162656240001708	0.336783144990203	0
0.507333	0.514667	0.667	0.123072994018821	0.331150277381013	0
0.507	0.515333	0.668	0.161098874281681	0.404672385926424	0
0.506333	0.514667	0.669667	0.31203772189349	0.72353144601485	0
0.506333	0.514667	0.668333	0.254937455257006	0.500250409337092	0
0.506	0.515	0.669	0.308768180034082	0.629727082860634	0
0.506	0.514667	0.668667	0.253087352220636	0.570742495366671	0
0.501	0.505667	0.654333	1.64401143123955	3.24908543670128	0
0.502667	0.507	0.667667	1.17596371226380	3.25673035416766	0
0.505667	0.511667	0.668	0.514782017213102	1.03994159808801	0
0.505333	0.511667	0.667667	0.514782017213102	1.03445579565538	0
0.506	0.512667	0.669	0.444126386325237	0.869996570126319	0
0.506	0.511333	0.669	0.44250415245987	1.02226315011051	0
0.505	0.508333	0.661333	0.194888392333580	0.39484634904501	0
0.505333	0.509	0.659667	0.150941275194693	0.264173291199638	0
0.504667	0.509333	0.660667	0.117579840408398	0.202012577862199	0
0.504667	0.509	0.659	0.114324607205920	0.228215901525579	0
0.504667	0.507667	0.656667	0.362795505238418	0.507776174065265	0
0.504333	0.508333	0.658333	0.244405805066122	0.387509111620239	0
0.504	0.509333	0.659667	0.197059146732738	0.366414970203705	0
0.505	0.508667	0.671667	1.41030997312388	2.89773773581885	0
0.506333	0.51	0.666	0.863500356702153	1.54687356795292	0
0.507	0.51	0.666667	0.599764822108980	1.41441072638753	0
0.507	0.509333	0.665667	0.599973866939612	1.48600020265731	0
0.505	0.508667	0.664333	0.77040085386117	1.79742375442344	0
0.502333	0.507667	0.669	1.94395372825478	4.02111697412806	0
0.504667	0.511667	0.669333	0.448779160889204	1.26663822066553	0
0.502333	0.506333	0.666333	1.12141710746859	2.93363216037739	0
0.503	0.511667	0.667	0.848946605597267	1.98109503530544	0
0.502667	0.509667	0.665	1.04997886261707	2.24351944537858	0
0.502667	0.510333	0.665667	0.94819994862048	2.30131571845294	0
0.501667	0.506333	0.659667	1.19601426289198	3.28494256646916	0
0.502	0.506	0.659	1.09068162663428	2.87691998749726	0
0.502333	0.506	0.664667	1.18488855866734	3.29183719219758	0
0.502333	0.505333	0.660667	1.1413710788445	3.09263673742901	0
0.502	0.505333	0.663	1.24713134116548	3.28968649901326	0
0.507333	0.514333	0.669333	0.310732790536963	0.508361271722628	0
0.506667	0.513	0.668667	0.369936324196777	0.713630464669515	0
0.506667	0.513333	0.667667	0.253087352220636	0.400546945826398	0
0.507	0.514667	0.67	0.308768180034082	0.572973127799698	0
0.504667	0.509333	0.668333	0.962633744859437	2.05976116841797	0
0.504333	0.508667	0.666333	1.06652824128223	2.03667960794463	0
0.504667	0.51	0.667333	0.863500356702153	1.81581231554896	0
0.504667	0.509667	0.666667	0.863500356702153	1.88701997738373	0
0.505	0.509667	0.668	0.863875076293833	1.67519047029606	0
0.505333	0.509333	0.667667	0.864	1.66732512078603	0
0.505333	0.510333	0.667667	0.77040085386117	1.51122963058779	0
0.503	0.509333	0.669	0.856022199599738	2.28869700227611	0
0.503333	0.511	0.669	0.846099451469178	2.19090368128256	0
0.502667	0.512333	0.668667	0.953259139417138	2.39096938065726	0
