Set_Number	OneWayAcc	TwoWayAcc	ThreeWayAcc	FourWayAcc	FiveWayAcc
1201	0.502333	0.508667	0.518	0.539667	0.676
1202	0.502667	0.508333	0.517667	0.541333	0.69
1203	0.502	0.507333	0.517333	0.540333	0.688
1204	0.502	0.507333	0.518667	0.546667	0.694333
1205	0.502333	0.506667	0.514667	0.537667	0.670667
1206	0.503667	0.507	0.519333	0.541	0.682667
1207	0.502333	0.508333	0.518	0.544333	0.698
1208	0.502333	0.508	0.519333	0.545333	0.694333
1209	0.503	0.507333	0.517667	0.538333	0.697333
1210	0.504333	0.508333	0.519333	0.546333	0.700667
1211	0.504333	0.508	0.517667	0.539	0.703667
1212	0.503	0.509	0.520333	0.546333	0.692333
1213	0.502	0.509667	0.520667	0.548	0.700333
1214	0.502667	0.507333	0.520667	0.543667	0.686
1215	0.502	0.509333	0.519667	0.548333	0.705
1216	0.502333	0.507667	0.519	0.545333	0.699333
1217	0.502667	0.506333	0.516667	0.545333	0.682
1218	0.501667	0.506333	0.519	0.547	0.683
1219	0.503	0.507333	0.519333	0.545	0.679
1220	0.502	0.506667	0.519667	0.543333	0.686333
1221	0.502	0.508	0.516667	0.535	0.673
1222	0.503333	0.508	0.517	0.543333	0.688333
1223	0.503667	0.509	0.518667	0.540333	0.693333
1224	0.502667	0.509	0.520333	0.541667	0.684333
1225	0.502333	0.507667	0.52	0.545	0.705
1226	0.502	0.508	0.518333	0.546	0.696333
1227	0.503667	0.508	0.519333	0.548333	0.701
1228	0.502333	0.506667	0.518333	0.538667	0.689333
1229	0.501333	0.509	0.524333	0.551333	0.703667
1230	0.502667	0.507667	0.516667	0.542	0.686333
1231	0.502	0.507667	0.517333	0.544333	0.691333
1232	0.502667	0.507	0.516	0.536333	0.681667
1233	0.502	0.508667	0.52	0.546667	0.708667
1234	0.501333	0.509667	0.521667	0.542667	0.692667
1235	0.502333	0.507	0.519	0.541667	0.701333
1236	0.502667	0.507333	0.516	0.541	0.672333
1237	0.503	0.507667	0.52	0.549333	0.692667
1238	0.502333	0.508333	0.52	0.546	0.695667
1239	0.503667	0.511	0.523333	0.551333	0.698667
1240	0.503	0.510333	0.517667	0.547	0.692667
1241	0.503	0.508667	0.518	0.543667	0.695667
1242	0.502667	0.507667	0.515667	0.543667	0.680667
1243	0.502667	0.508	0.517333	0.541333	0.688333
1244	0.502667	0.507667	0.519667	0.541333	0.682333
1245	0.502667	0.507	0.52	0.546333	0.685333
1246	0.502	0.508333	0.518667	0.543333	0.692333
1247	0.502667	0.509	0.519667	0.546667	0.702667
1248	0.503	0.509667	0.515	0.538667	0.689667
1249	0.501667	0.507333	0.52	0.543	0.695667
1250	0.502	0.508667	0.519	0.541667	0.690667
1251	0.501667	0.507	0.517667	0.540333	0.690333
1252	0.503	0.507333	0.518333	0.545333	0.68
1253	0.502	0.507667	0.517667	0.546333	0.700333
1254	0.502333	0.508667	0.517667	0.544333	0.691
1255	0.502667	0.508667	0.521	0.552667	0.698667
1256	0.502667	0.507333	0.520333	0.547	0.699667
1257	0.502333	0.508667	0.518667	0.547333	0.692
1258	0.502333	0.507667	0.516667	0.534667	0.671333
1259	0.503	0.508	0.518667	0.545333	0.688
1260	0.503	0.508333	0.518333	0.543	0.689
1261	0.502667	0.507333	0.516	0.541	0.686333
1262	0.502667	0.507667	0.518	0.544667	0.685333
1263	0.502667	0.507	0.516	0.540333	0.683
1264	0.502333	0.506667	0.517333	0.542333	0.686667
1265	0.501333	0.508667	0.518	0.541333	0.676667
1266	0.502667	0.508	0.521667	0.552667	0.700667
1267	0.502333	0.506333	0.515	0.540667	0.681
1268	0.502667	0.508333	0.52	0.554333	0.702333
1269	0.503333	0.508	0.518333	0.549667	0.691333
1270	0.502667	0.507	0.518667	0.546	0.703
1271	0.501667	0.507	0.516667	0.534667	0.680333
1272	0.503	0.507667	0.518333	0.546	0.689333
1273	0.502667	0.507333	0.518	0.54	0.687667
1274	0.502333	0.507333	0.517667	0.543667	0.685667
1275	0.502333	0.508333	0.521	0.55	0.698333
1276	0.502333	0.507	0.517	0.546	0.698667
1277	0.503667	0.507667	0.516333	0.543	0.691333
1278	0.501667	0.507333	0.521333	0.548	0.691667
1279	0.501667	0.507667	0.516667	0.537333	0.677
1280	0.503333	0.507333	0.519	0.545	0.703667
1281	0.502	0.507	0.517333	0.545667	0.688
1282	0.503333	0.508667	0.515667	0.537667	0.676333
1283	0.503667	0.506	0.519667	0.551	0.703667
1284	0.502333	0.507	0.516667	0.536667	0.683667
1285	0.503333	0.506333	0.519	0.542667	0.690333
1286	0.502333	0.507	0.519333	0.544	0.686667
1287	0.503333	0.506667	0.516	0.536333	0.69
1288	0.502667	0.508	0.516	0.540667	0.693667
1289	0.502333	0.507333	0.517333	0.536333	0.678333
1290	0.501667	0.509	0.52	0.543	0.697
1291	0.501333	0.509667	0.518	0.540333	0.685333
1292	0.504333	0.509	0.518333	0.541333	0.682
1293	0.502	0.509	0.517667	0.539667	0.686333
1294	0.502	0.508	0.519333	0.546333	0.685667
1295	0.502667	0.509667	0.516	0.544	0.692
1296	0.502333	0.507333	0.516	0.543	0.687333
1297	0.503667	0.510333	0.52	0.544667	0.692667
1298	0.501667	0.51	0.518	0.542	0.681333
1299	0.503333	0.511	0.52	0.539	0.686667
1300	0.502667	0.506	0.517667	0.540667	0.682
