Set_Number	OneWayAcc	TwoWayAcc	ThreeWayAcc	FourWayAcc
1101	0.501333	0.504	0.517667	0.753667
1102	0.501	0.503667	0.523	0.729
1103	0.500667	0.502667	0.517667	0.723333
1104	0.500667	0.504	0.517667	0.776667
1105	0.500667	0.503	0.514333	0.761
1106	0.500667	0.503667	0.516	0.750333
1107	0.501333	0.503667	0.516	0.731667
1108	0.501333	0.503333	0.516	0.761667
1109	0.501	0.504	0.517	0.746
1110	0.501	0.504333	0.516667	0.774333
1111	0.501667	0.504333	0.521667	0.739333
1112	0.500667	0.504667	0.519	0.768
1113	0.501333	0.503667	0.517667	0.758667
1114	0.500667	0.503333	0.514333	0.752667
1115	0.500333	0.502667	0.514	0.783333
1116	0.500667	0.502667	0.519	0.736667
1117	0.500667	0.504333	0.519	0.753
1118	0.500667	0.504	0.518	0.735667
1119	0.500667	0.503333	0.514667	0.760333
1120	0.501	0.503333	0.515	0.752333
1121	0.501333	0.504	0.521	0.738
1122	0.501	0.504333	0.519333	0.734333
1123	0.501	0.503333	0.517	0.761
1124	0.500667	0.503	0.518	0.751333
1125	0.501333	0.504333	0.518667	0.736667
1126	0.500667	0.504333	0.516	0.750667
1127	0.500333	0.503	0.515	0.738
1128	0.500667	0.503667	0.515667	0.759667
1129	0.501	0.503667	0.517667	0.732
1130	0.500667	0.502667	0.517667	0.762
1131	0.501	0.503667	0.519	0.756667
1132	0.501333	0.504	0.515	0.757333
1133	0.501	0.502667	0.52	0.741667
1134	0.501	0.505	0.52	0.743
1135	0.500667	0.503333	0.522667	0.718333
1136	0.500667	0.503667	0.517	0.749667
1137	0.501	0.503333	0.519333	0.740333
1138	0.501	0.504	0.520667	0.757
1139	0.501	0.504667	0.519333	0.745333
1140	0.501333	0.503333	0.516667	0.739
1141	0.500667	0.503333	0.518667	0.771
1142	0.501	0.503333	0.516	0.748
1143	0.500667	0.503333	0.515667	0.759
1144	0.501	0.503333	0.517	0.746333
1145	0.500667	0.503	0.517333	0.749333
1146	0.501	0.503667	0.517667	0.760667
1147	0.500667	0.502333	0.513667	0.772333
1148	0.501333	0.503333	0.519	0.747667
1149	0.500333	0.502333	0.510667	0.795667
1150	0.501	0.503333	0.516	0.759333
1151	0.501	0.503333	0.516667	0.732333
1152	0.500333	0.503333	0.516	0.749667
1153	0.501333	0.503333	0.518333	0.748333
1154	0.501333	0.503333	0.517667	0.750333
1155	0.501	0.503667	0.514	0.797
1156	0.500667	0.503333	0.515667	0.734
1157	0.501333	0.503667	0.514333	0.759667
1158	0.501333	0.506	0.522333	0.740333
1159	0.501	0.506333	0.519667	0.751667
1160	0.501667	0.505	0.522	0.733667
1161	0.500667	0.504333	0.518333	0.732
1162	0.501333	0.504	0.518333	0.763667
1163	0.500667	0.502667	0.512333	0.763333
1164	0.501	0.503333	0.522	0.745333
1165	0.502	0.504333	0.525333	0.736
1166	0.501	0.503	0.521	0.723667
1167	0.500333	0.504	0.516	0.785333
1168	0.501	0.505	0.518	0.748333
1169	0.500667	0.503667	0.518333	0.738333
1170	0.500667	0.503333	0.516	0.765
1171	0.501	0.504	0.516667	0.759
1172	0.500667	0.503667	0.516667	0.750333
1173	0.501	0.503667	0.522333	0.726667
1174	0.501	0.503667	0.516	0.761667
1175	0.501	0.503	0.517333	0.740333
1176	0.501667	0.504333	0.522	0.738333
1177	0.502	0.504333	0.520333	0.765
1178	0.501	0.503	0.515333	0.765667
1179	0.500667	0.502667	0.514	0.731667
1180	0.501333	0.503333	0.518667	0.734667
1181	0.501	0.505	0.519	0.732333
1182	0.500667	0.502667	0.514	0.781333
1183	0.501	0.503	0.518333	0.752333
1184	0.500667	0.503333	0.516	0.734333
1185	0.501	0.503667	0.517333	0.751333
1186	0.501333	0.503	0.522	0.755333
1187	0.500333	0.503667	0.517333	0.743667
1188	0.500667	0.503	0.518333	0.766
1189	0.501	0.503667	0.516667	0.761
1190	0.500667	0.503	0.514	0.744
1191	0.501333	0.503333	0.517333	0.748667
1192	0.500667	0.504333	0.516	0.753
1193	0.501667	0.503	0.515667	0.761
1194	0.501	0.502333	0.519667	0.733667
1195	0.500667	0.504333	0.516333	0.761667
1196	0.501	0.503667	0.514333	0.732667
1197	0.500667	0.503667	0.52	0.738333
1198	0.501333	0.504667	0.52	0.739333
1199	0.501667	0.504	0.516667	0.750667
1200	0.500667	0.504667	0.520333	0.753
